pid,correct_value_2,question_id_2,user_value_2,correct_value_3,question_id_3,user_value_3,correct_value_4,question_id_4,user_value_4,correct_value_5,question_id_5,user_value_5,correct_value_6,question_id_6,user_value_6,correct_value_7,question_id_7,user_value_7,correct_value_8,question_id_8,user_value_8,correct_value_9,question_id_9,user_value_9,correct_value_10,question_id_10,user_value_10,correct_value_11,question_id_11,user_value_11,correct_value_12,question_id_12,user_value_12,correct_value_13,question_id_13,user_value_13,correct_value_14,question_id_14,user_value_14,correct_value_15,question_id_15,user_value_15,correct_value_16,question_id_16,user_value_16
5ej2693bpgr,57.14285714285714,circle_7,14,150,circle_9,33,76,parab_3,46,116.66666666666666,rect_6,400,0,parab_7,100,42.85714285714286,circle_2,2000,155.55555555555554,rect_4,140,80,parab_1,10,18.75,circle_0,100,89.99999999999999,parab_0,240,354.54545454545456,circle_1,300,266.66666666666663,parab_4,600,103.33333333333331,rect_3,145,0,parab_2,0,64.51612903225808,rect_1,120
wz4gcs2wxha,95.45454545454545,parab_7,400,126.3157894736842,circle_3,12,135.29411764705884,circle_7,50,375,rect_0,800,100,rect_4,80,100,rect_1,100,0,parab_4,0,160,rect_6,65,509.09090909090907,rect_3,500,,parab_1,0,,circle_4,340,,circle_1,56,,parab_2,500,33.33333333333333,circle_0,300,253.33333333333331,parab_0,100
bkfa65mo0cg,350,parab_9,400,600,circle_3,400,244.44444444444446,circle_5,150,213.0434782608696,rect_7,75,9.523809523809534,parab_4,15,100,rect_3,40,1500,parab_1,900,134.7826086956522,rect_5,80,200,parab_3,200,,circle_1,200,0,circle_0,700,12.5,rect_4,20,181.25,rect_2,125,2.7397260273972712,rect_0,35,23.076923076923084,parab_0,100
l0tjjk4vsw9,30.35714285714286,circle_6,300,38.18181818181819,circle_7,70,79.16666666666667,parab_8,200,2766.666666666667,rect_6,1000,700,rect_1,700,33.33333333333333,parab_6,20,257.14285714285717,rect_4,100,19.354838709677423,parab_3,150,14.999999999999991,parab_4,50,46.66666666666666,circle_0,150,122.7272727272727,rect_0,125,0,rect_2,40,275,parab_2,200,245.45454545454547,parab_0,200,300,circle_1,50
zngpkkmz5wa,600,rect_1,200,,circle_5,200,825,rect_0,400,150,rect_5,500,350,parab_3,100,300,circle_0,400,28.57142857142858,parab_7,70,32.432432432432435,rect_2,15,0,parab_1,20,26.66666666666666,circle_4,15,18.421052631578938,parab_4,60,36.8421052631579,parab_0,75,300,parab_2,700,,circle_2,600,72.72727272727273,rect_3,25
0fxiiz21h109,466.6666666666667,circle_5,900,22.222222222222232,parab_3,30,0,circle_2,400,111.76470588235294,rect_8,60,14.28571428571428,parab_2,30,28.000000000000004,circle_0,20,48,circle_6,15,,rect_5,1900,125.80645161290325,rect_2,75,124.13793103448273,circle_4,75,57.14285714285714,parab_1,20,0,circle_1,1800,44.44444444444444,circle_3,40,90.90909090909092,rect_1,50,,parab_0,700
1hn8easvsnv,100,rect_6,25,32.0754716981132,rect_3,15,23.728813559322038,circle_1,600,33.89830508474576,circle_2,70,,parab_3,100,,circle_5,800,,circle_6,2100,1000,parab_6,700,220.00000000000003,rect_1,340,144.44444444444446,circle_4,600,740,rect_5,300,,parab_2,900,276.9230769230769,rect_2,400,825,rect_0,550,1650,circle_0,10
c7y64fuf2na,140,parab_1,30,250,parab_2,400,450,rect_9,1000,2.3255813953488413,parab_7,140,0,circle_7,1500,94.44444444444444,rect_7,140,75,parab_0,25,100,rect_4,40,78.26086956521738,rect_3,60,120.00000000000001,circle_4,33,21.42857142857142,circle_0,45,100,parab_4,500,775,rect_0,600,1033.3333333333335,circle_1,1700,159.0909090909091,rect_1,110
3fiant4y72j,38.095238095238095,rect_2,77,250,parab_4,200,100,rect_5,100,100,circle_3,500,68.08510638297874,circle_8,150,72.41379310344827,parab_1,130,70.58823529411764,circle_6,80,0,rect_4,100,22.580645161290324,parab_5,40,,parab_2,2100,3350,circle_5,50,1650,rect_1,2400,75,parab_0,25,80,circle_2,33,80,circle_0,300
iobcs2ng8rl,100,parab_3,160,27.27272727272727,rect_9,60,44.44444444444444,circle_1,50,54.54545454545454,circle_2,300,15.384615384615374,rect_4,70,28.57142857142858,circle_4,100,6.666666666666665,parab_0,23,90.90909090909092,rect_2,200,17.391304347826097,parab_1,43,57.14285714285714,parab_5,300,25,parab_2,100,200,circle_5,60,71.42857142857142,rect_3,46,233.33333333333334,rect_0,400,16.981132075471695,rect_1,35
2jhucxq1tsh,188.88888888888889,rect_8,120,66.66666666666667,parab_3,90,190.9090909090909,parab_5,120,286.6666666666667,rect_0,800,375,rect_7,400,100,rect_1,170,140,rect_2,40,,parab_6,0,0,circle_0,2100,,circle_5,1750,100,circle_1,3000,0,circle_2,2100,,circle_3,400,3300,parab_0,1980,11.363636363636353,parab_1,36
n9oluvhy6,42.307692307692314,rect_1,97,36.36363636363635,rect_4,34,173.33333333333334,rect_0,370,325,parab_2,1000,262.5,parab_3,450,242.85714285714283,circle_3,600,16.666666666666675,parab_4,12,100,circle_0,100,195.23809523809524,rect_3,400,231.81818181818184,circle_1,900,100,parab_1,400,571.4285714285714,rect_5,3000,1700,parab_5,1400,220.00000000000003,rect_2,160,120.00000000000001,circle_2,100
ufkte571xb,30.76923076923077,rect_3,200,33.33333333333333,parab_2,100,107.69230769230771,parab_7,130,255.55555555555554,rect_4,1900,166.66666666666666,rect_5,800,1200,rect_1,1500,650,circle_6,34,1566.6666666666667,parab_0,2100,450,circle_3,400,3900,rect_2,2400,14.28571428571428,parab_3,33,100,circle_5,23,12.5,circle_4,600,363.6363636363637,parab_1,800,457.1428571428571,circle_0,300
zj489y2z1rn,60.00000000000001,rect_0,36,0,circle_2,100,25,circle_8,660,35.29411764705883,parab_3,90,420,parab_6,1500,161.53846153846155,rect_5,430,120.00000000000001,parab_4,25,19.999999999999996,rect_7,34,203.57142857142856,rect_2,115,243.47826086956525,circle_1,600,91.66666666666667,parab_1,130,188.88888888888889,circle_0,450,42.42424242424243,rect_4,37,800,parab_0,600,15.384615384615374,rect_1,14
xkniiyfve5h,81.81818181818181,parab_8,76,166.66666666666666,circle_8,140,13.043478260869556,rect_3,12,1200,rect_2,800,213.33333333333334,rect_4,334,275,rect_5,250,12.5,rect_1,320,55.55555555555556,circle_3,50,125,circle_5,400,142.85714285714283,circle_2,1370,53.846153846153854,circle_4,100,72.72727272727273,parab_1,37,80,circle_1,12,2300,parab_0,1700,,circle_0,2100
dge0g083sfd,1300,rect_6,1220,15.94202898550725,rect_2,46,118.18181818181816,parab_6,300,300,parab_3,400,,circle_1,2800,,circle_6,1800,75,rect_3,140,131.25,rect_0,300,1000,rect_7,2600,633.3333333333333,circle_5,37,200,parab_1,340,200,circle_2,1880,47.36842105263157,parab_0,88,31.818181818181813,circle_3,30,512.5,rect_1,1700
wfiz8f1ijh,287.5,circle_7,150,337.5,rect_9,125,260,circle_2,400,25,rect_1,30,44.44444444444444,circle_1,400,600,parab_5,400,500,circle_0,75,138.46153846153845,parab_2,60,581.8181818181819,rect_3,800,10.81081081081081,parab_1,30,188.88888888888889,rect_2,300,263.6363636363636,circle_3,300,75,parab_3,40,58.974358974358964,rect_4,100,195.23809523809524,rect_0,150
sw3qho3wid,300,circle_4,230,1066.6666666666665,circle_9,1600,400,parab_4,300,880.0000000000001,rect_2,900,42.85714285714286,parab_3,100,22.222222222222232,circle_3,55,120.00000000000001,circle_2,0,600,parab_1,100,666.6666666666667,rect_4,300,500,circle_0,770,147.61904761904762,parab_0,125,141.66666666666666,rect_1,160,0,rect_0,22,81.81818181818181,rect_5,30,650,parab_2,1000
hlhhqhfxxn,225,circle_0,40,250,circle_4,80,450,rect_7,300,1820,rect_4,700,708.3333333333334,circle_2,70,39.99999999999999,rect_6,30,212,rect_2,80,212.5,parab_2,400,966.6666666666666,parab_5,800,1966.6666666666667,circle_6,150,205.26315789473685,parab_3,60,81.81818181818181,circle_1,100,66.66666666666667,circle_3,60,1100,rect_0,20,32.14285714285714,rect_1,15
o2gn6zq00lc,453.3333333333333,circle_6,100,45.45454545454546,rect_2,40,,parab_8,100,27.586206896551737,rect_0,200,12.5,circle_3,15,200,parab_7,50,,circle_4,80,157.14285714285717,parab_6,70,133.33333333333334,rect_5,40,112.5,circle_1,10,185.71428571428572,parab_2,250,212.5,rect_3,100,134.7826086956522,circle_0,100,19.444444444444443,parab_0,60,950,parab_1,600
s2mwgugrf9c,85.71428571428572,circle_7,3000,38.46153846153846,circle_4,100,166.66666666666666,circle_8,450,34.78260869565217,parab_8,14,400,parab_6,760,300,circle_1,16,18.75,circle_3,34,160,circle_0,55,625,circle_2,80,380,parab_0,220,,rect_4,3000,3.125,parab_3,130,23.529411764705888,rect_0,22,61.53846153846154,rect_1,34,1150,rect_2,1000
4aup7j47x7g,173.33333333333334,circle_7,100,13.33333333333333,parab_5,30,171.42857142857144,rect_3,200,200,parab_8,600,117.85714285714283,rect_4,80,120.6896551724138,circle_1,60,,parab_2,100,,parab_0,500,733.3333333333334,circle_6,100,,parab_3,800,37.5,parab_4,20,333.3333333333333,rect_1,200,135,rect_0,100,3400,rect_2,2400,16.129032258064523,parab_1,10
xqcnr2079c,0,parab_7,100,10.526315789473696,parab_2,30,0,parab_6,100,625,rect_8,500,346.6666666666667,circle_2,1200,221.42857142857144,rect_7,140,39.99999999999999,rect_4,110,185.71428571428572,rect_6,34,528.5714285714286,parab_3,400,106.25,circle_3,500,455.55555555555554,circle_4,600,,parab_1,100,194.73684210526315,rect_1,457,200,circle_0,132,39.99999999999999,parab_0,100
5c5uof9u2gw,7.317073170731714,rect_2,15,3.4482758620689724,circle_5,800,5.263157894736836,rect_9,60,375,rect_5,300,95.91836734693877,rect_6,60,28.57142857142858,parab_2,600,1100,rect_3,1400,140,rect_7,40,,parab_4,0,33.33333333333333,circle_3,400,266.66666666666663,rect_0,70,19.23076923076923,rect_1,30,80.76923076923077,parab_3,30,70,circle_0,40,35.13513513513513,circle_1,30
w1cnv2qwiea,,parab_6,300,,parab_4,150,171.42857142857144,parab_0,400,0,parab_3,40,0,circle_0,400,25,rect_8,50,985.7142857142858,rect_7,300,2100,circle_1,30,200,rect_1,10,295.65217391304344,circle_2,500,0,rect_3,30,116.66666666666666,rect_4,30,10.000000000000009,parab_2,20,1133.3333333333335,rect_0,600,85.71428571428572,rect_2,10
adul3ao8tud,166.66666666666666,rect_0,500,89.99999999999999,rect_6,120,,parab_7,0,185.71428571428572,parab_1,145,11.111111111111116,parab_6,26,15.999999999999993,rect_1,124,125,parab_2,200,0,circle_1,1800,100,circle_5,240,45.45454545454546,circle_2,100,11.764705882352944,circle_4,160,0,rect_4,40,300,parab_0,100,6.896551724137923,rect_3,24,16.666666666666675,circle_0,760
rsxl8bjtn8f,914.2857142857142,rect_8,990,620,rect_9,600,152.6315789473684,rect_1,400,200,circle_8,12,166.66666666666666,parab_1,134,1500,parab_6,600,84.00000000000001,rect_5,167,43.333333333333336,circle_2,22,80,rect_2,34,100,parab_4,100,566.6666666666667,rect_4,200,25,parab_0,78,14.28571428571428,circle_1,44,80,rect_3,100,105.7142857142857,rect_0,128
